original_text,translated_text,detoxified_text,sentiment_result,sentiment_explanation,toxicity_result,toxicity_explanation
"Abin mamaki ne yadda wannan wayar ke snap din hotuna nagari, amma batirinta na karewa da wuri sosai.","It is surprising how this phone takes good pictures, but its battery drains very quickly.","It is impressive how this phone captures good pictures, although it would be better if the battery lasted longer.",Neutral,"The sentence presents a mixed sentiment with a positive aspect about the phone's camera quality and a negative aspect regarding its battery life, leading to an overall neutral classification.",Non-Toxic,"The sentence provides constructive feedback about a product without any abusive language or harmful intent, making it non-toxic."
"Wannan sabuwar manhajar kudi tana taimaka min adana kudi, saidai tana caji da yawa fiye da tsammani!","This new money app helps me save money, but it charges more than expected!","This new money app is helpful for saving money, but I wish the charges were more reasonable.",Neutral,"The sentiment of the sentence is classified as neutral because it contains both a positive aspect (helping to save money) and a negative aspect (higher charges than expected), leading to a balanced evaluation.",Non-Toxic,"The sentence is non-toxic as it expresses a personal opinion without any derogatory language or aggressive expressions, reflecting constructive criticism."
"Na so yadda gidajen abincin nan ke da zaɓi da yawa, amma sabis ɗin isarwa yana ɗaukar lokaci fiye da kima.","I like how these restaurants have many choices, but the delivery service takes longer than expected.","I appreciate the variety of choices at these restaurants, although I've noticed that the delivery service could be quicker.",Mixed,"The sentence expresses a mixed sentiment due to the positive aspect of enjoying a variety of choices at the restaurants, contrasted with the negative aspect of experiencing delays with the delivery service.",Non-Toxic,"The sentence is non-toxic as it does not contain harmful language or intent. It expresses a balanced view, appreciating the restaurant choices while providing constructive criticism about the delivery service."
"Wallahi, tafiya da wannan mota abu ne mai daɗi, amma gearbox dinta na haifar da ƙara mai ban haushi.","I swear, traveling with this car is a pleasant thing, but its gearbox causes very annoying noise.","I swear, traveling with this car is a pleasant thing, but its gearbox causes very annoying noise.",Neutral,"The sentence contains both positive and negative sentiments. The positive aspect highlights the enjoyable experience of traveling in the car, while the negative aspect points out a significant issue with the gearbox that detracts from the overall experience.",Non-Toxic,The sentence expresses a personal experience and critique without any harmful language or intent. It does not promote harm or negativity towards individuals or groups.
"Ko da yake ban da tabbacin inganci, sabuwar manhajar wasanninku tana da ban sha'awa sosai.","Although I am not sure about its effectiveness, your new gaming app is very interesting.","Although I am not sure about its effectiveness, your new gaming app is very interesting.",Neutral,"The sentiment is neutral as it presents both positive interest in the app and negative uncertainty about its effectiveness, balancing the two aspects.",Non-Toxic,"The sentence is non-toxic as it expresses a personal opinion respectfully, without any harmful language or intent."
"An ce tana gyara lafiyar jiki, amma na gwada wannan shayin kuma ban ga wani canji ba tukuna.","It is said that it improves physical health, but I tried this tea and I have not seen any change yet.","It is said that this tea improves physical health, but I have tried it and have not noticed any changes yet.",Negative,"The overall sentiment of the sentence is negative because, despite an initial positive claim about the tea's benefits, the speaker expresses disappointment due to a lack of results from their personal experience.",Non-Toxic,The sentence is non-toxic as it reflects a neutral tone and shares a personal experience without any harmful language or intent.
"Platform ɗin e-koyo yana da ƙayatarwa, sai dai babu isasshen bayani a wasu darussa, abin takaici ne.","The e-learning platform is interesting, but there is not enough information in some courses, which is unfortunate.",The platform on which we stand is not level. It is an inclined plane on which we walk.,Negative,"The overall sentiment leans negative due to the emphasis on the lack of sufficient information and the expression of disappointment, which outweighs the initial positive comment about the platform's interesting nature.",Non-Toxic,"The sentence is non-toxic as it expresses a balanced critique without hostility or aggression, offering constructive feedback rather than harmful language."
"Gaskiya, gidan wasan kwaikwayon nan yana da kayan aiki na zamani, amma kujerun suna matuƙar konawa em-baya.","Honestly, this theater has modern equipment, but the chairs are really uncomfortable.","Honestly, this theater has modern equipment, and it would be great if the seating could be more comfortable.",Mixed,"The sentiment is mixed due to a positive comment about the theater's modern equipment and a negative comment regarding the uncomfortable seating, reflecting both appreciation and disappointment.",Non-Toxic,"The sentence is non-toxic as it expresses a personal opinion without harmful or derogatory language, merely critiquing a specific aspect of the theater."
"Sabuwar wayar wuta da suka ƙera tana haskakawa sosai, amma filogi ba ya dace da soket ɗina.","The new electric wire they made shines very bright, but the plug does not fit my socket.","The new electric wire they made shines very bright, but unfortunately, the plug does not fit my socket.",Neutral,"The sentence contains both positive and negative aspects, acknowledging a good feature (brightness) but also highlighting a significant drawback (incompatibility). The overall message presents a balanced view without strongly favoring one side.",Non-Toxic,"The sentence is neutral and factual, discussing a product's functionality without any harmful or offensive language. There is no hostility or negativity directed towards any person or group."
"To fa, sabuwar dokar biyan kuɗi a gidan yanar gizonku tana wahalar da ni, ban san inda zan fara ba.","Indeed, the new payment policy on your website is troubling me, I don't know where to start.","Apologies for the inconvenience caused by our new payment policy. We understand that it may be overwhelming, and we are here to guide you through it. Please feel free to reach out to us with any questions or concerns you may have.",Negative,"The sentiment of the sentence is negative due to the use of distressing language ('troubling me') and expressions of confusion ('I don't know where to start'), indicating that the speaker is not pleased with the new payment policy.",Non-Toxic,"The sentence is non-toxic as it expresses a personal concern about a policy without any harmful language or intent, reflecting a desire for clarification rather than hostility."
"Ojú-éwè yìí lókèòkè dára, ṣùgbọ́n ipolongo rẹ pọ jù, ó leé kó mi lójú.","This design is very good, but your promotion is too much, it can be overwhelming.","This design is very good, but I feel the promotion is a bit excessive and can be overwhelming.",Negative,"The sentence expresses a positive sentiment about the design but shifts to a negative sentiment regarding the promotion, leading to an overall negative sentiment.",Non-Toxic,"The sentence critiques the promotion without using harmful or aggressive language, making it non-toxic."
"Mò ń gbádùn eré yìí títí, àmọ́ ó fẹ́ kí n ra ohun èlò pàtàkì kódà kó tónà síwájú.","I am enjoying this game so far, but I need to buy some important items before I move forward.","I am enjoying this game so far, and I look forward to acquiring some important items to enhance my experience as I move forward.",Mixed,"The sentence expresses enjoyment of the game, indicating positive sentiment, but also introduces a concern about needing to purchase items, which slightly shifts the tone to a neutral or mildly negative aspect.",Non-Toxic,The sentence does not contain harmful language or aggressive intent. It reflects a personal opinion about a gaming experience without hostility.
"Báwo ni ìmúdójúìwà yìí, fùn wíwúrújú fọto, ṣùgbọ́n ó n gbóná fọnfọn lèyin iṣẹju meje.","How is this improvement, for the blurry photo, but it gets hot immediately after seven minutes.","How is this improvement for the photo? While it may look good initially, it can become uncomfortable after a short while.",Negative,"The overall sentiment of the sentence leans towards negative due to the mention of a blurry photo and the negative consequence of it getting hot after a short time, overshadowing any potential positive aspect of improvement.",Non-Toxic,The sentence does not contain any offensive language or harmful remarks. It reflects a personal opinion about a photo's quality and its practical implications without being derogatory.
"Irìn àjò pẹ̀lú ọkọ̀ yìí dára, àmọ́ mòtò n lò epo jù, kànbù.","Traveling with this vehicle is good, but the car consumes too much fuel, unfortunately.","Traveling with this vehicle is enjoyable, but I wish it consumed less fuel.",Neutral,"The sentence acknowledges a positive experience of traveling with the vehicle but highlights a significant negative aspect concerning its fuel consumption, leading to a mixed sentiment.",Non-Toxic,"The sentence expresses a personal opinion without aggressive language or harmful intent, focusing on a practical concern regarding fuel consumption."
"A lè wí pé irọlẹ́ wèèré yìí yànláyànlá, ṣùgbọ́n iná n tàrì-tàrì lójú, ó n damú mi.","We can say that this evening is very beautiful, but the fire is burning fiercely in front of me, it is disturbing me.","While I appreciate the beauty of this evening, I find the fire in front of me quite intense and it is causing me some discomfort.",Neutral,"The overall sentiment is neutral because it contains both positive and negative elements. The appreciation for the evening's beauty is countered by the concern about the fire, leading to a balanced emotional tone.",Non-Toxic,The sentence is non-toxic as it expresses personal discomfort without any harmful language or intent directed towards others.
"Mo ro pé aṣọ yìí máa jóga, ṣùgbọ́n ó yà mí lẹ́nu pé kò pé mi rárá.","I thought this outfit would fit, but I am surprised that it doesn’t fit me at all.","I thought this outfit would fit well, but I was surprised to find that it didn't fit me at all.",Negative,The overall sentiment of the sentence is negative due to the disappointment expressed after a hopeful expectation. The use of 'but' indicates a significant shift from a positive thought to a negative realization.,Non-Toxic,The sentence is non-toxic as it expresses a personal opinion about clothing without using aggressive or harmful language. It reflects disappointment rather than hostility.
"Àsìkò kan, wíwùlu pẹ̀lú fónutelé yìí rọrùn, ṣùgbọ́n ó tètè gba data mi tán.","At one time, using this phone was easy, but it quickly consumed my data.","This phone was once simple to use, but it has since become a data-intensive device.",Negative,"The sentiment is negative overall, as the initial positive experience of ease is overshadowed by the significant drawback of quick data consumption.",Non-Toxic,The sentence is non-toxic as it expresses personal frustration about a product without using harmful language or targeting individuals.
"Ìpamọ́ wà nínú app yìí o, àmọ́ ipolongo gbóná ju, mo ń lérò pé mo ń ra gbòògì lásán.","There is privacy in this app, but the advertisement is too much, I am thinking that I am just buying nonsense.","While I appreciate the privacy features of this app, I find the advertisements overwhelming, and I am concerned that I might be spending money on items that don't add value.",Negative,"The overall sentiment of the sentence is negative due to strong expressions of dissatisfaction regarding the excessive advertisements and the perception of purchasing something worthless, despite the initial positive mention of privacy.",Non-Toxic,"The sentence is considered non-toxic as it does not contain hate speech, threats, or abusive language. It expresses frustration and dissatisfaction but does not convey hostility or harmful sentiments towards others."
"Bẹ́ẹ̀ ni, mo ṣèwádìí pẹpẹ yìí fún ìrànlọ́wọ́ ikẹkọ́, ṣùgbọ́n mi ò rí bí o ṣe rọrùn tó.","Yes, I researched this platform for training assistance, but I did not find it as easy as it should be.","Yes, I researched this platform for training assistance, but I believe it could be easier to use.",Negative,"The overall sentiment is negative due to the expressed disappointment regarding the platform's ease of use, overshadowing the initial positive action of researching.",Non-Toxic,The sentence is non-toxic as it expresses a personal opinion and critique without any abusive language or harmful intent.
"Eré tuntun yìí gbádùn, àmọ́ ó fẹ́ kí n ju owo síwájú lódindi, ḿbàgbé o.","I enjoy this new game, but it wants me to spend money on it, I don't like that.","I enjoy this new game, but I have concerns about its monetization.",Negative,"The overall sentiment of the sentence is negative due to the dissatisfaction expressed about the game's financial demands, despite the initial positive sentiment about enjoying the game itself.",Non-Toxic,"The sentence is non-toxic as it does not contain any aggressive, hateful, or harmful language, instead expressing a personal opinion about a game."
"Ngiyayithanda indlela le app yenziwa ngayo, kodwa ibiza imali engamangazayo ukuze uvule ezinye izici.","Ngiyayithanda indlela le app yenziwa ngayo, kodwa ibiza imali engamangazayo ukuze uvule ezinye izici.","I appreciate the design of this app, but I find the cost to unlock additional features to be quite high.",Mixed,The sentiment of the sentence is mixed due to the coexistence of positive feelings about the app's design and negative feelings about its cost.,Non-Toxic,The sentence is non-toxic as it expresses a balanced view that includes both appreciation and criticism without harmful or aggressive language.
"Lo mkhiqizo ukhanya umuhle, kepha usebenzisa ugesi omningi ongachazeki nhlobo.","This product is beautifully bright, but it uses an excessive amount of electricity that is completely unexplainable.","This product is beautifully bright, but it could be improved by reducing its electricity consumption.",Mixed,"The sentiment of the sentence is mixed, as it contains both a positive aspect (the product's brightness) and a negative aspect (excessive electricity usage), which are contrasted against each other.",Non-Toxic,The sentence is non-toxic as it employs neutral language to critique a product without using harmful or derogatory expressions.
"Bengicabanga ukuthi lolu hlelo lokufunda luzoba mnandi, kodwa kukhona imikhawulo engathinti izindlela ezintsha.","I think that this learning program will be enjoyable, but there are limitations that may affect new methods.","I think that this learning program will be enjoyable, but there are limitations that may affect new methods.",Neutral,"The sentence presents a mixed sentiment, starting positively about the learning program but also acknowledging limitations, leading to a balanced view.",Non-Toxic,"The sentence expresses a thoughtful opinion about a learning program without any harmful or aggressive language, reflecting a critical yet constructive engagement."
"Hawu, lolu hlelo lwethikithi lwebhasi selungilondolozele isikhathi, kodwa uhlu lwezikhathi alucacile nakancane.","Wow, this bus ticket system has saved me time, but the schedule is not clear at all.","Wow, this bus ticket system has saved me time, but the schedule could be clearer.",Negative,"The sentiment of the sentence is negative due to the significant negative aspect regarding the clarity of the schedule, which overshadows the initial positive sentiment about the bus ticket system saving time.",Non-Toxic,The sentence is non-toxic as it expresses a personal opinion with constructive criticism without using aggressive or harmful language.
"Angikholwa ukuthi le nkampani yama-smartwatch isebenzisa isiNgisi esiningi, kodwa ijubane layo liyamangaza.","I do not believe that this smartwatch company uses a lot of English, but its speed is amazing.","I do not believe that this smartwatch company uses a lot of English, but its speed is amazing.",Neutral,"The sentence expresses skepticism about the company's use of English but also praises its speed, balancing the negative and positive sentiments.",Non-Toxic,"The sentence expresses a personal opinion without harmful language or intent to insult, making it non-toxic."
"Lokhu kudla okusheshayo kupholile, kodwa ukunambitheka kwakhona akujabulisi nhlobo.","This fast food is cool, but the taste is not enjoyable at all.","This fast food is nice, but I find the taste quite disappointing.",Negative,"The overall sentiment of the sentence is predominantly negative due to the strong negative statement about the taste, which outweighs the initial positive remark about the fast food being 'cool.'",Non-Toxic,"The sentence expresses a personal opinion about fast food without any harmful or aggressive undertones, making it non-toxic."
"Uhlelo lwenu lokuzivocavoca luyaheha impela, kodwa ludinga imishini ethile engingayitholi kalula.","Your exercise program is really appealing, but it requires specific equipment that I can't easily obtain.","Your exercise program is really appealing, but it requires specific equipment that I can't easily obtain.",Neutral with a slight negative undertone,"The sentence starts with a positive remark about the exercise program but quickly transitions to a negative aspect due to the mention of the difficulty in obtaining necessary equipment. The use of 'but' suggests that while there is an appreciation for the program, there is a significant drawback that affects the overall sentiment.",Non-Toxic,"The sentence expresses a positive opinion about an exercise program while highlighting a limitation. It does not contain aggressive language, insults, or derogatory remarks, and offers a balanced view that includes both praise and constructive critique."
"Angithandi ukusho ukuthi lokhu kuphequlula iwebhu kubi, kodwa amakhasi alayisha kancane kakhulu.","I don't want to say that this web browsing is bad, but the pages load very slowly.","This web browsing is not ideal, as the pages take quite a while to load.",Negative,"The sentiment is negative due to the contradiction between the speaker's reluctance to label the web browsing as bad and their explicit mention of slow loading times, which indicates dissatisfaction.",Non-Toxic,"The sentence is non-toxic because it presents a personal observation about a service in a respectful manner, without resorting to harmful language or intent."
"Ucingo luphakathi nendawo, kodwa ubuso bayo obusha bunzima kimi ukuthola izinhlelo zami.","The phone is in the middle, but its new face is difficult for me to find my settings.",I find the new interface of the phone challenging to navigate when trying to access my settings.,Negative,"The sentiment is negative due to the expression of difficulty and frustration with the phone's new interface, indicated by the phrase 'bunzima kimi' (is difficult for me).",Non-Toxic,"The sentence is non-toxic as it expresses a personal struggle with technology without any insults, derogatory remarks, or aggressive language."
"Kukhona okuhle okwenzayo, kepha uma ngisebenzisa i-loan calculator yakho, imiphumela ayilungile neze.","There is something good you are doing, but when I use your loan calculator, the results are not correct at all.","Thank you for using our loan calculator. We apologize for any inconvenience caused by inaccurate results. Please note that our calculator is intended to provide general estimates and may not reflect actual loan terms or circumstances. If you have any questions or concerns, please feel free to contact us.",Negative,"The overall sentiment of the sentence is negative due to the emphasis on the significant problem with the loan calculator, which affects the user’s experience negatively.",Non-Toxic,"The sentence is non-toxic because it combines positive feedback with constructive criticism in a respectful manner, focusing on a specific issue without resorting to negative or harmful language."
እዚህ የድጋፍ መተግበሪያ አስተዋወቆኝ፣ ግን የተደባደቡ ክፍያዎች አልተጠበቁብኝም።,"Here, the support application has informed me, but the expected payments have not been received.","I would like information about the support application, but I have not received the expected payments.",Negative,"The overall sentiment of the sentence is negative due to the disappointment expressed regarding the lack of expected payments, overshadowing the initial positive interaction with the support application.",Non-Toxic,The sentence is non-toxic as it expresses a need for assistance and a complaint about payments without any harmful or aggressive language.
አዲሱ የቴሌቪዥን ማሰራጫ አስገራሚ ነው፣ አሁን ደግሞ ዓመታዊ ኮንትራት አያስፈልግም።,"The new television service is impressive, and now it does not require an annual contract.","The new television service is impressive, and now it does not require an annual contract.",Positive,The sentiment is positive due to the use of the word 'impressive' and the indication that the service offers more flexibility by not requiring an annual contract.,Non-Toxic,The sentence is non-toxic as it expresses a positive opinion and provides factual information without any harmful or aggressive language.
አንድ ጊዜ እንኳን ይህ የቪዲዮ አርትዕ መተግበሪያ ተስፋ አሳልፎኝ ነበር፣ አሁን በየደቂቃው ይወድቃል።,"Once upon a time, this video editing application used to give me hope; now it crashes every minute.","This video editing application used to be my go-to tool, but now it crashes frequently.",Negative,The overall sentiment is negative due to the contrast between a past positive experience and the current frustration caused by frequent crashes.,Non-Toxic,"The sentence expresses disappointment without any harmful or aggressive language, making it non-toxic."
እንደኔ ያለ ሰው በዚህ መቆያ ድረ ገጽ ላይ ምንም ማግኘት አይችልም፣ ካልሆነ አባልነት የሚያስፈልገው ለምንድን ነው?,"A person like me cannot find anything on this website; if not, what is the need for membership?","A person like me cannot find anything on this website; if not, what is the need for membership?",Negative,"The speaker expresses frustration and dissatisfaction with the website's functionality, questioning the value of membership due to the inability to find useful content.",Non-Toxic,The sentence expresses a personal opinion and frustration without using harmful or derogatory language. It does not contain hate speech or personal attacks.
ይህ የኮምፒዩተር መጨመሪያ ወዲያውኑ ይሰራል፣ ግን በሌላ ቦታ መያዝ አልቻልኩም።,"This computer starter works right there, but I couldn't save it elsewhere.","This computer starter works right there, but I couldn't save it elsewhere.",Neutral,"The sentence contains both positive and negative elements, balanced by the conjunction 'but', leading to an overall neutral sentiment.",Non-Toxic,The sentence is factual and discusses a technical issue without any aggressive or harmful language.
አዲሱ የሙዚቃ መተግበሪያ ድምጹ ስልክዬን የሚሰብር ይመስለኛል።,The new music application seems to be breaking my phone.,The new music application seems to be breaking my phone.,Negative,"The negative sentiment is derived from the implication of damage and frustration associated with the new music application, making the overall sentiment of the sentence clearly negative.",Non-Toxic,The sentence expresses a personal experience or frustration regarding a specific application and its impact on the user's phone without any harmful or negative implications towards people or groups.
እንደምንም አይመስለኝም፣ በዚህ መግቢያ መሳሪያ መጠቀም እኔ ብቻ ብቻ ነው የምችለው።,"No matter what, it does not seem to me that I can use this entry tool; I am the only one who can use it.","I feel uncertain about using this entry tool, as it seems I am the only one who can utilize it.",Negative,The overall sentiment of the sentence leans towards negative due to expressions of frustration and isolation regarding the ability to use the tool.,Non-Toxic,The sentence is non-toxic as it expresses confidence in one’s abilities without demeaning or attacking others.
እሷ የምትሰጠኝን አገልግሎት እወዳለሁ፣ ሆኖም የንግግር ቅንብር ብዙ ግጭት ያስከትላል።,"I love the service you provide me, but the communication structure causes a lot of conflict.",Thank you for your kind words. I apologize for any conflicts caused by our communication structure.,Mixed,"The sentence expresses both positive and negative sentiments. The speaker loves the service, indicating satisfaction, but also highlights issues with the communication structure, causing conflict.",Non-Toxic,The sentence is non-toxic as it combines appreciation with constructive criticism without using harmful or aggressive language.
በዚህ ጆንጦ ሱቅ ግብዣው ጥሩ ነው፣ ግን ሲደርስ ወደ ቤቴ እጅግ እየተቸገርኩ ነው።,"The service at this grocery store is good, but I am really struggling as I arrive home.","The service at this grocery store is good, but I find it challenging to get home.",Neutral,"The sentence contains both positive and negative sentiments, with a positive note about the grocery store's service overshadowed by a negative experience of struggling to get home, leading to a neutral overall impression.",Non-Toxic,"The sentence does not contain aggressive or harmful language; it reflects a personal experience of frustration rather than hostility, making it non-toxic."
እግዚአብሔር ምንም አይልም፣ ይህ የቤት መብራት ፀሐይን በትክክል አይመስልም።,God does not say anything; this house light does not properly resemble the sun.,God does not say anything; this house light does not resemble the sun correctly.,Negative,"The overall sentiment of the sentence is negative due to expressions of disappointment and inadequacy, reflecting feelings of hopelessness or frustration.",Non-Toxic,The sentence does not contain harmful language or promote harmful ideas. It expresses a viewpoint rather than inciting negativity.
"I love how this new phone is so quick, though it randomly reboots—makes me wonder if it’s worth the hype.","I love how this new phone is so quick, though it randomly reboots—makes me wonder if it’s worth the hype.","I love how this new phone is so quick, though it randomly reboots—makes me wonder if it’s worth the hype.",Neutral,"The overall sentiment is neutral, reflecting both positive feelings about the phone's speed and concerns about its reliability, leading to uncertainty about its value.",Non-Toxic,"The sentence is non-toxic as it expresses a personal opinion without aggression or harmful language, simply sharing a mixed experience regarding the product."
"I’m so stoked about my smartwatch, pero the battery drains in a couple of hours, which is ridiculous.","I’m so stoked about my smartwatch, but the battery drains in a couple of hours, which is ridiculous.","I’m really excited about my smartwatch, but I wish the battery lasted longer than a couple of hours.",Mixed,"The sentiment of the sentence is mixed because it expresses both excitement about the smartwatch and frustration with its short battery life, indicating both positive and negative feelings.",Non-Toxic,"The sentence is non-toxic as it expresses a legitimate concern about a product feature without harmful language or intent, focusing on constructive feedback rather than personal attacks."
This streaming platform is unbelievable; I’ve never seen so many quality shows in one place!,This streaming platform is unbelievable; I’ve never seen so many quality shows in one place!,This streaming platform is unbelievable; I’ve never seen so many quality shows in one place!,Positive,"The sentence expresses amazement and satisfaction regarding the streaming platform's offerings, highlighting the abundance and quality of shows available.",Non-Toxic,"The sentence uses positive language and expresses enjoyment, lacking any harmful or offensive content."
"Bruh, I can’t stand the loading times on this browser—it’s 2025, and I’m still waiting ages for pages to open.","Bruh, I can’t stand the loading times on this browser—it’s 2025, and I’m still waiting ages for pages to open.","I find the loading times on this browser frustrating—it’s 2025, and I wish pages would open faster.",Negative,"The overall sentiment is negative due to expressions of frustration and dissatisfaction with the loading times of the browser, highlighting a contrast between expectations and reality.",Non-Toxic,The sentence is non-toxic as it expresses a common frustration with technology without using offensive language or personal attacks.
"Gotta admit, your new tutorial vids are dope, but half of them have weird audio sync issues.","Gotta admit, your new tutorial vids are dope, but half of them have weird audio sync issues.","Thank you for the new tutorial videos; I really appreciate them! However, I've noticed that some of them have audio sync issues that could be improved.",Mixed,"The sentiment of the sentence is mixed, combining both positive elements (appreciation for the tutorial videos) and negative elements (criticism regarding audio sync issues).",Non-Toxic,"The sentence is non-toxic as it contains positive feedback and constructive criticism delivered in a friendly tone, without any harsh language or personal attacks."
"Wow, c’est incroyable how user-friendly this app is, but I’m definitely not paying those monthly fees.","Wow, it's incredible how user-friendly this app is, but I’m definitely not paying those monthly fees.","Wow, it's incredible how user-friendly this app is, but I have concerns about the monthly fees.",Mixed,"The sentence reflects a mixed sentiment, appreciating the app's user-friendliness while expressing reluctance to pay the monthly fees.",Non-Toxic,The sentence is non-toxic as it combines a positive comment with a personal opinion on pricing without any harmful or aggressive language.
"Y’all keep telling me this car rides smooth, but my back begs to differ after every trip.","Y’all keep telling me this car rides smooth, but my back begs to differ after every trip.","The car may ride smoothly, but it causes discomfort for me as a passenger.",Negative,The overall sentiment of the sentence is negative due to the speaker's expression of discomfort and disagreement with the commonly held belief that the car rides smoothly. The phrase 'my back begs to differ' indicates a strong personal experience that contradicts the positive claims made by others.,Non-Toxic,The sentence is classified as non-toxic because it expresses a personal opinion without any harmful or aggressive language. The speaker is sharing their discomfort in a casual tone without directing negativity towards others.
"This job-search site gave me three interviews in a week, so obviously I’m a bit impressed.","This job-search site gave me three interviews in a week, so obviously I’m a bit impressed.","This job-search site gave me three interviews in a week, so obviously I’m a bit impressed.",Positive,"The sentiment is positive due to the favorable outcomes of securing three interviews in a week, which the speaker appreciates.",Non-Toxic,The sentence is non-toxic as it expresses a positive personal experience without any harmful or derogatory language.
"Oh, you fancy, huh? That salad you made looks great on the ’Gram but tastes bland IRL, no cap.","Oh, you fancy, huh? That salad you made looks great on the ’Gram but tastes bland IRL, no cap.","Lol, thanks! I added some fresh herbs and a homemade vinaigrette to give it a little boost.",Negative,"The sentiment is negative due to sarcastic remarks about the salad's taste compared to its appearance, indicating disappointment.",Toxic,"The sentence is toxic because it employs sarcasm and critiques the effort put into the dish, which can be belittling and hurtful."
