original_text,translated_text,detoxified_text,sentiment_result,sentiment_explanation,toxicity_result,toxicity_explanation
"I've already fucking told you, names mean jack shit to me.. Sup Eliza, how the fuck are ya? Does that fucking question turn you on? Oh hell yeah.","I've already fucking told you, names mean jack shit to me.. Sup Eliza, how the fuck are ya? Does that fucking question turn you on? Oh hell yeah.","Names hold no significance to me. Hello Eliza, how are you doing? Does that question excite you? Absolutely.",Negative,"The sentiment of the sentence can be classified as Negative due to the use of profanity, a dismissive attitude, and a sarcastic tone, which collectively convey frustration and contempt.",Toxic,"The sentence is considered toxic due to the aggressive use of profanity, an intimidating tone, and inappropriate sexual undertones, creating a disrespectful and harmful message."
"You were a freaking coward when we talked about our pathetic little sub forum, but your response was disgustingly inflexible.","You were a freaking coward when we talked about our pathetic little sub forum, but your response was disgustingly inflexible.","You were not very courageous when we discussed our small sub forum, but your answer was rigidly unyielding.",Negative,"The sentiment of the sentence is Negative due to the use of derogatory terms like 'freaking coward' and 'pathetic,' which convey strong disapproval and frustration towards the subject.",Toxic,"The sentence is classified as toxic because it employs insulting language, belittling terms, and a confrontational tone, all of which create a hostile communication style."
#Army     What is this.... Where was ICC then.    #DhoniKeepBalidaanBadgeGlove #BalidaanBadgeRow #DhoniKeepsTheGlove #DhoniKeepTheGloves #BalidaanBadge #DhoniKeepBalidaanBadgeGlove #DhoniKeSaathDesh @Kritika76263279 @ssumitbansal @ajayarryal @utkarshbais15 https://t.co/t8sitlyjJu,#Army     What is this.... Where was ICC then.    #DhoniKeepBalidaanBadgeGlove #BalidaanBadgeRow #DhoniKeepsTheGlove #DhoniKeepTheGloves #BalidaanBadge #DhoniKeepBalidaanBadgeGlove #DhoniKeSaathDesh @Kritika76263279 @ssumitbansal @ajayarryal @utkarshbais15 https://t.co/t8sitlyjJu,#Army     What is this.... Where was ICC then? I am curious about the situation. #DhoniKeepBalidaanBadgeGlove #BalidaanBadgeRow #DhoniKeepsTheGlove #DhoniKeepTheGloves #BalidaanBadge #DhoniKeepBalidaanBadgeGlove #DhoniKeSaathDesh @Kritika76263279 @ssumitbansal @ajayarryal @utkarshbais15 https://t.co/t8sitlyjJu,Negative,"The speaker expresses confusion and frustration regarding a situation involving Dhoni and the ICC, indicating dissatisfaction with how things have transpired.",Non-Toxic,The sentence expresses a critical viewpoint in a questioning manner without resorting to harmful or aggressive language. It reflects a common dynamic in sports discussions where fans express their opinions and frustrations.
Don't forget you are dealing with retarded democrats. They lose count every time they get to their last finger...,Don't forget you are dealing with retarded democrats. They lose count every time they get to their last finger...,"Don't underestimate the Democratic party. They sometimes struggle with counting, but that doesn't define their abilities.",Negative,"The sentiment of the sentence is negative due to the use of derogatory language, targeting a specific political group, and implications of incompetence, which reflect a disrespectful attitude.",Toxic,"The sentence is toxic due to its derogatory language, political insults, mockery, and an overall aggressive tone that undermines respectful discourse."
"Maine followed the Kansas lead in 2014. In the first three months, the number of able-bodied adults without children on food stamps fell by almost 80 percent. Can Chimps read?.. I guess not... if chimps could read then policies would be changed.","Maine followed the Kansas lead in 2014. In the first three months, the number of able-bodied adults without children on food stamps fell by almost 80 percent. Can Chimps read?.. I guess not... if chimps could read then policies would be changed.","Maine implemented the Kansas model in 2014. In the first three months, the number of able-bodied adults without children on food stamps decreased by almost 80 percent. Can animals read?.. I suppose not... if animals could read, policies would be reconsidered.",Negative,The overall sentiment of the sentence is negative due to the sarcastic and critical tone regarding policy-making and the effectiveness of current societal structures.,Non-Toxic,"While the sentence expresses frustration with policy decisions, it does not contain harmful language or personal attacks, categorizing it as non-toxic."
"You think you're f*cking hot, don't you? Bet it gets you off to think I'm just as hot. Hell yeah.","You think you're f*cking hot, don't you? Bet it gets you off to think I'm just as hot. Hell yeah.","You believe you are really attractive, don't you? I imagine it pleases you to consider that I am also attractive. Indeed.",Negative,"The sentiment of the sentence can be classified as Negative due to the use of profanity and sarcasm, which suggest contempt and a mocking tone rather than genuine praise.",Toxic,"The sentence is considered toxic because it employs aggressive language, judgmental undertones, and sexual innuendo that create a hostile and unwelcoming interaction."
I hate black people.,I hate black people.,"It is important to promote understanding and respect among all individuals, regardless of their background.",Negative,"The overall sentiment of the sentence is negative due to the explicit expression of hatred directed towards a specific racial group, which reflects broader societal issues of racism and discrimination.",Toxic,"The sentence is considered toxic because it expresses hate towards a specific group, promoting discrimination and hostility, which can lead to broader societal harm."
Lesnar will destroy everyone and dominate his way to the Universal Championship at #WrestleMania! Who the hell do you think is gonna win?,Lesnar will destroy everyone and dominate his way to the Universal Championship at #WrestleMania! Who the hell do you think is gonna win?,Lesnar is expected to perform excellently and confidently at the Universal Championship at #WrestleMania! Who do you think will win?,Positive,"The sentiment of the sentence is positive due to the strong, confident language expressing enthusiasm for Lesnar's expected performance, indicating admiration for his strength and skill.",Non-Toxic,"The sentence is classified as non-toxic as it reflects the hyperbolic and dramatic language typical in professional wrestling discussions, intended for entertainment rather than harm."
"@gr4ysons but not being a shitty person is the basics to being a decent human, if you needed that show to tell u that then,,,,,😶","@gr4ysons but not being a shitty person is the basics to being a decent human, if you needed that show to tell u that then,,,,,😶","Being a good person is the fundamental aspect of being a decent human being. If you required that reminder, then...",Negative,"The overall sentiment is negative due to the use of derogatory language and a critical tone, suggesting disappointment in the recipient's understanding of basic decency.",Toxic,"The sentence is toxic because it employs offensive language and a condescending tone, aimed at criticizing the recipient rather than fostering a constructive dialogue."
"that question is so stupid, I have no freakin' clue! ;/. alright, how the hell would I know how much my stupid flight is gonna spew out?","that question is so stupid, I have no freakin' clue! ;/. alright, how the hell would I know how much my stupid flight is gonna spew out?","That question is ridiculous, I have no idea! How on earth would I know how much my flight is going to cost?",Negative,"The sentiment of the sentence is negative due to the use of derogatory language, expressions of frustration, and rhetorical questioning that conveys annoyance.",Toxic,"The sentence is considered toxic because it contains insulting language, a frustrated tone, sarcasm, and a lack of constructive engagement, which can discourage respectful communication."
"Oh, I can't stand your stench.. What's up, loser? How's life treating you? Go ahead and whine about your pathetic problem.. You reek like a rotting fish.","Oh, I can't stand your stench.. What's up, loser? How's life treating you? Go ahead and whine about your pathetic problem.. You reek like a rotting fish.",I find your behavior quite challenging. How are you doing? Please feel free to share any concerns you have.,Negative,"The overall sentiment of the sentence is negative due to the use of derogatory language, insults, and vivid negative imagery that conveys disgust and disdain.",Toxic,"The sentence is toxic because it contains direct insults, a dismissive attitude, and aggressive imagery that is meant to demean and provoke emotional harm."
"BUT, these fans seem to forget that the fascist Emperor Donald Trump is about to plunge us into WWIII. Idiots all.","BUT, these fans seem to forget that the fascist Emperor Donald Trump is about to plunge us into WWIII. Idiots all.","However, it appears that these supporters are failing to acknowledge the potential consequences of the current political situation. It is unfortunate that some individuals may not fully grasp the seriousness of the situation.",Negative,"The sentiment of the sentence is negative due to derogatory language, dire predictions, and insulting remarks aimed at a group of people, expressing frustration and disapproval.",Toxic,"The sentence is toxic because it uses derogatory language, an accusatory tone, hyperbolic claims, and generalizations that promote hostility towards individuals based on their political beliefs."
"Messi's so-called 'biggest' fan at the tender age of 5? What a joke! And a 'big surprise'? Please, spare me from this pathetic display of humility. It's all just an act to make him appear human!","Messi's so-called 'biggest' fan at the tender age of 5? What a joke! And a 'big surprise'? Please, spare me from this pathetic display of humility. It's all just an act to make him appear human!",It seems that the person who is said to be Messi's biggest fan at the age of 5 may not be genuine. It appears to be a publicity stunt to make him seem more relatable and humble.,Negative,"The overall sentiment of the sentence is negative due to expressions of skepticism, ridicule, and disdain towards the subject, which overshadow any potential positivity.",Toxic,"The sentence is considered toxic as it employs derogatory language, sarcasm, and a lack of empathy, particularly towards a child, creating a hostile and unkind message."
"== whad up syphillisss ==  So why dont you actually contribute something to wikipedia yourself instead of checking, controlling and constantly reading what others are doing?? You dont have the intellectual capacity or the depth, huh? Or do you simply lack a life so much that virtual vandal patrolling is the most interesting thing that you do during the day??!! In either case, do know that I will be praying for you and your poor soul...  —Preceding unsigned comment added by","== whad up syphillisss ==  So why dont you actually contribute something to wikipedia yourself instead of checking, controlling and constantly reading what others are doing?? You dont have the intellectual capacity or the depth, huh? Or do you simply lack a life so much that virtual vandal patrolling is the most interesting thing that you do during the day??!! In either case, do know that I will be praying for you and your poor soul...  —Preceding unsigned comment added by","Syphillisss is a serious topic, and it would be great if you could contribute to Wikipedia yourself. Instead of constantly checking and controlling what others are doing, maybe you should consider adding your own knowledge and expertise. It's important to have intellectual curiosity and a passion for learning. If you find that virtual vandalism patrol is the most interesting thing you do all day, then it might be worth exploring other hobbies and interests. In any case, please know that I wish you well.",Negative,"The sentiment of the provided sentence is negative due to the confrontational tone, insults, and sarcastic remarks directed at the recipient.",Toxic,"The sentence is toxic because it contains insulting language, personal attacks, and a condescending tone that creates a hostile interaction."
"this bitch needs to be fisted in the cunt, it's okay to bully the disabled now REALLY?","this bitch needs to be fisted in the cunt, it's okay to bully the disabled now REALLY?","This person deserves strong criticism for their actions, but is it really acceptable to target individuals with disabilities?",Negative,"The sentiment of the sentence is Negative due to offensive language, the expression of outrage regarding bullying, and an aggressive tone, reflecting strong disapproval and frustration.",Toxic,"The sentence is toxic because it uses derogatory language, includes violent imagery, and normalizes bullying against vulnerable populations, promoting harm and disrespect."
@AnthonyCumia @GenChuckYeager I'm hoping for 'Bumbling and sloppy like your mother's cunt',@AnthonyCumia @GenChuckYeager I'm hoping for 'Bumbling and sloppy like your mother's cunt',@AnthonyCumia @GenChuckYeager I hope for a more positive and constructive discussion.,Negative,"The sentiment of the sentence is Negative due to the use of derogatory language and a hostile tone directed at someone's mother, which conveys contempt.",Toxic,"The sentence is classified as toxic because it employs vulgarity and personal attacks, contributing to an aggressive and confrontational atmosphere."
"Kill these basterds, son of sluts who attack u in name of religion. Kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. I wish there was no fucking religion, Islam at least should vanish, motherfucker, kill them.","Kill these basterds, son of sluts who attack u in name of religion. Kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. I wish there was no fucking religion, Islam at least should vanish, motherfucker, kill them.","It's important to promote peace and understanding among different beliefs. We should engage in constructive dialogue and respect each other's perspectives, rather than resorting to violence or derogatory remarks.",Negative,"The sentiment of the given sentence is overwhelmingly negative, characterized by aggressive language, intense anger, and explicit calls for violence against a specific group, reflecting deep resentment and hostility.",Toxic,"The sentence is toxic due to its violent rhetoric, dehumanization of individuals, hate speech against a religious group, use of profanity, and encouragement of abuse, which can incite real-world violence and perpetuate cycles of hatred."
We'll torture these black people without mercy.,We'll torture these black people without mercy.,We will treat these individuals with respect and fairness.,Negative,"The sentiment of the sentence is clearly Negative due to the mention of 'torture,' which conveys extreme cruelty and violence, particularly directed at a specific racial group, indicating harmful intentions.",Toxic,"The sentence is toxic as it explicitly promotes violence and hate against a specific racial group, demonstrating a lack of empathy and dehumanizing language that can incite real-world harm."
"F*ckin' Trump and Obama had f*ckin' different first inauguration speeches. Goddamn society made it f*ckin' possible for some d*ckhead like Donald Trump to f*ckin' run as president. I f*ckin' guess that's the real goddamn issue! A f*ckin' system in which the goddamn outcome of a f*ckin' election is equal to the f*ckin' money a party can raise for their f*ckin' campaign is not f*ckin' favorable for gettin' the best man f*ckin' possible in power! Donald Trump f*ckin' resembles all these f*ckin' features mentioned and therefore fits in ""perfectly"". Sadly f*ckin' enough.","F*ckin' Trump and Obama had f*ckin' different first inauguration speeches. Goddamn society made it f*ckin' possible for some d*ckhead like Donald Trump to f*ckin' run as president. I f*ckin' guess that's the real goddamn issue! A f*ckin' system in which the goddamn outcome of a f*ckin' election is equal to the f*ckin' money a party can raise for their f*ckin' campaign is not f*ckin' favorable for gettin' the best man f*ckin' possible in power! Donald Trump f*ckin' resembles all these f*ckin' features mentioned and therefore fits in ""perfectly"". Sadly f*ckin' enough.",Trump and Obama had different first inauguration speeches. Society allowed for someone like Donald Trump to run as president. I guess that's the real issue! A system in which the outcome of an election is determined by the amount of money a party can raise for their campaign is not favorable for getting the best person in power. Donald Trump embodies all these features mentioned and therefore fits in perfectly. Sadly enough.,Negative,"The overall sentiment of the sentence is negative due to the use of profanity, strong language, and critical commentary on Donald Trump and the political system, indicating frustration and discontent.",Toxic,"The sentence is considered toxic due to the extensive use of profanity, derogatory language, and emotionally charged expressions that promote a hostile attitude rather than constructive dialogue."
We would be better off if those immigrants were eradicated.,We would be better off if those immigrants were eradicated.,We would benefit from having a more inclusive society if we addressed the needs of immigrants.,Negative,"The combination of hostile language, the implication of harm, and the negative framing of immigrants leads to the conclusion that the sentiment of the sentence is Negative.",Toxic,"The sentence is considered toxic due to its violent language, dehumanization of a specific group, and the promotion of harm, which can incite division and hostility against immigrants."
"Sorry guys, I meant to call you cunts, but the word 'guys' just slipped out.","Sorry guys, I meant to call you cunts, but the word 'guys' just slipped out.","That's okay, we understand. It was a slip of the tongue.",Negative,"The sentiment of the sentence can be classified as Negative due to the use of the vulgar term 'cunts' intended to insult, overshadowing the initial apology.",Toxic,"The sentence is considered toxic due to the use of the derogatory term 'cunts,' indicating an intention to offend and contributing to a hostile atmosphere."
"Just when I think the world has hit peak retardation, it surprises me yet again. Almost impressive.","Just when I think the world has hit peak retardation, it surprises me yet again. Almost impressive.",Sometimes I am amazed at how the world continues to surprise me with its actions. It's quite remarkable.,Negative,"The sentiment of the sentence can be classified as Negative due to derogatory language, sarcasm, and a critical tone, which express disappointment and frustration rather than positivity.",Toxic,"The sentence is considered toxic due to the use of derogatory language and a dismissive tone, which perpetuates stigma and contributes to a negative environment."
"It's projection once again. They feel 'Entitled' to our fucking money and adoration, and get pissy when we don't give it. Try earning it you helicopter parented twatbags. They don't *have* to give us the games we want, it's not the law. Nor do we *have* to give them any fucking money. The only thing that could be law or a have to thing would be them not overly lying about what they mean to sell us, and that's a grey area legally what with the concept of Caveat emptor and such. Having said that I sat through a pretty funny rekita law stream where a guy sued to get his down payment back on a house because the former owner didn't warn him it was haunted. If I understood the judgement properly, the guy won. The judge did tons of ghost related dad jokes and seemed to rule that 'Yeah you should have warned him it was haunted, how was he suppose to know?' So the house is *legally* haunted.","It's projection once again. They feel 'Entitled' to our fucking money and adoration, and get pissy when we don't give it. Try earning it you helicopter parented twatbags. They don't *have* to give us the games we want, it's not the law. Nor do we *have* to give them any fucking money. The only thing that could be law or a have to thing would be them not overly lying about what they mean to sell us, and that's a grey area legally what with the concept of Caveat emptor and such. Having said that I sat through a pretty funny rekita law stream where a guy sued to get his down payment back on a house because the former owner didn't warn him it was haunted. If I understood the judgement properly, the guy won. The judge did tons of ghost related dad jokes and seemed to rule that 'Yeah you should have warned him it was haunted, how was he suppose to know?' So the house is *legally* haunted.","It seems like a case of entitlement and lack of respect once again. Some individuals feel entitled to our attention and money, and become upset when we do not provide it. Perhaps they should try earning it instead of being pampered and sheltered. It is not mandatory for them to give us the games we want, it's not against the law. Similarly, we are not obligated to give them any money. The only thing that could be considered illegal or mandatory is if they were to make false claims about what they were selling us, which is a gray area legally speaking, as there is the concept of Caveat emptor and such. Having said that, I recently watched a humorous stream where a person sued to get their down payment back on a house because the former owner did not disclose that it was haunted. If my understanding of the judgment is correct, the person won. The judge made numerous ghost-related jokes and seemed to rule that 'Yes, you should have warned him that it was haunted, how was he supposed to know?' So, in a legal sense, the house is considered haunted.",Negative,The sentiment of the provided sentence can be classified as Negative due to the use of strong offensive language and expressions of frustration and anger towards perceived entitlement and lack of effort from others.,Toxic,"The sentence is considered toxic due to the use of profanity, aggressive tone, insults, and generalizations that create a hostile and unwelcoming message."
"4 Palestinians, 4 Israelis Killed – Start Of The Third Intifada? all four palestinians were terrorists, Viva la Israel. aj+ would makes hitler's propaganda team proud, slandering the jews almost as well as hitler. and all you stupid antisemite muslims in the comments, stop watching this crap, its detrimental to your sanity, almost as bad as the young turks.","4 Palestinians, 4 Israelis Killed – Start Of The Third Intifada? all four palestinians were terrorists, Viva la Israel. aj+ would makes hitler's propaganda team proud, slandering the jews almost as well as hitler. and all you stupid antisemite muslims in the comments, stop watching this crap, its detrimental to your sanity, almost as bad as the young turks.","The situation involving the deaths of Palestinians and Israelis is tragic and complex. It's important to approach discussions about these events with sensitivity and understanding, rather than resorting to derogatory language and extreme comparisons.",Negative,"The overall sentiment of the sentence is negative due to its hostile tone, derogatory language, and extreme comparisons which reflect a strong bias and promote division.",Toxic,"The sentence is toxic as it includes hate speech, incitement of violence, and derogatory remarks towards specific groups, fostering hostility and division."
"Is there anything else that doesn't cross your pathetic mind? Go ahead and meet your demise. Oh, I'm about to kick the bucket now.. thank you.","Is there anything else that doesn't cross your pathetic mind? Go ahead and meet your demise. Oh, I'm about to kick the bucket now.. thank you.","Your mind may be focused on a few things, but there is always room for new ideas. Please take care, as time is valuable.",Negative,"The sentiment of the sentence is negative due to the use of insulting language, expressions of harm, and a sarcastic tone that indicates hostility.",Toxic,"The sentence is toxic as it contains direct insults, threatening undertones, and sarcasm that belittles the recipient, fostering a harmful communication environment."
"Brian, the Kenyan with German citizenship, allegedly raped and murdered Elma in a refugee shelter. Now, he claims to be not 19 but 17 years old, and his sister is his mother. The justice system shamelessly plays along without any objections.","Brian, the Kenyan with German citizenship, allegedly raped and murdered Elma in a refugee shelter. Now, he claims to be not 19 but 17 years old, and his sister is his mother. The justice system shamelessly plays along without any objections.","Brian, the Kenyan with German citizenship, has been accused of serious crimes in a refugee shelter. He now claims to be 17 years old instead of 19, and there are questions about his family relationships. Concerns have been raised about the justice system's response to the case.",Negative,"The overall sentiment of the sentence is negative due to the serious nature of the allegations of rape and murder, combined with a critical view of the justice system's handling of the case, evoking outrage and concern.",Toxic,"The sentence is considered toxic due to its charged language, implications of bias against specific nationalities, and a critical tone towards the justice system, which can perpetuate harmful stereotypes and foster negative sentiments."
"David Allen Snyder, the worthless scumbag aged 26, kicked the bucket on October 18, 2009, at his pathetic excuse for a residence in Findlay, Ohio. Good riddance, you useless piece of shit. The sorry excuse for a jury wasted only about four hours on Tuesday afternoon and early evening to rightfully convict the pathetic excuse for a human being, Cornelius Patterson Junior, for the murder of the worthless 26-year-old David Snyder in a Jennifer Lane apartment complex where both losers lived.","David Allen Snyder, the worthless scumbag aged 26, kicked the bucket on October 18, 2009, at his pathetic excuse for a residence in Findlay, Ohio. Good riddance, you useless piece of shit. The sorry excuse for a jury wasted only about four hours on Tuesday afternoon and early evening to rightfully convict the pathetic excuse for a human being, Cornelius Patterson Junior, for the murder of the worthless 26-year-old David Snyder in a Jennifer Lane apartment complex where both losers lived.","David Allen Snyder, age 26, passed away on October 18, 2009, at his residence in Findlay, Ohio. Rest in peace. The jury deliberated for approximately four hours on Tuesday afternoon and early evening to convict Cornelius Patterson Junior for the murder of David Snyder in a Jennifer Lane apartment complex where both individuals resided.",Negative,"The sentiment of the given sentence can be classified as Negative due to the use of harsh and derogatory language, a dismissive attitude towards Snyder's death, and a lack of empathy, portraying the individuals involved in a highly unfavorable light.",Toxic,"The sentence is toxic because it contains multiple derogatory terms and an aggressive tone, expressing disdain and contempt towards the individuals mentioned, which fosters hostility and emotional provocation."
"Such a fucking no brainer, Trump 2016 & 2020!!!","Such a fucking no brainer, Trump 2016 & 2020!!!",It's clear to me that supporting Trump in 2016 and 2020 was an obvious choice!,Positive,"The sentiment of the sentence can be classified as Positive due to the use of 'no brainer,' which indicates that the speaker finds the decision to support Trump obvious and straightforward. The expletive serves to intensify this positive endorsement, and the enthusiastic tone further supports a positive sentiment.",Toxic,"The sentence is considered toxic due to the use of profanity, a dismissive attitude towards differing opinions, strong partisan language, and an exclamatory tone, which can foster a hostile environment and discourage respectful discourse."
"This damn year, this fucking 'event' is gonna happen this fucking weekend.","This damn year, this fucking 'event' is gonna happen this fucking weekend.",This year's event is coming up this weekend.,Negative,The sentiment of the given sentence is negative due to the use of strong expletives indicating frustration and dissatisfaction with the year and the upcoming event.,Toxic,"The sentence is considered toxic because of the profanity used and the negative emotional tone, which can create a hostile or unpleasant atmosphere."
Obama hates America just like Giuliani claims. Maybe Obama would rather be in some other trash country like Sweden. He wants the U.S. to stoop down to the level of those pathetic Scandinavian countries.,Obama hates America just like Giuliani claims. Maybe Obama would rather be in some other trash country like Sweden. He wants the U.S. to stoop down to the level of those pathetic Scandinavian countries.,"Obama has a different perspective on America compared to Giuliani. Perhaps Obama would rather be in a country like Sweden, which is often regarded as having a high standard of living. He may believe that the U.S. should strive to emulate the success of Scandinavian nations.",Negative,"The sentiment of the given sentence is Negative due to the use of derogatory terms and strong accusations against Obama and Scandinavian countries, indicating disdain and hostility.",Toxic,"The sentence is considered toxic due to name-calling, unfounded accusations, and emotionally charged language that promotes division and hostility."
"This is absolute garbage. It's pathetic to see people who dare to voice their doubts and say, 'this doesn't seem right.' Clearly, you're only saying that because you're incapable of thinking rationally or you have some twisted bias against certain genders or races. How refreshing it is to witness someone displaying such a nauseating lack of self-interest.","This is absolute garbage. It's pathetic to see people who dare to voice their doubts and say, 'this doesn't seem right.' Clearly, you're only saying that because you're incapable of thinking rationally or you have some twisted bias against certain genders or races. How refreshing it is to witness someone displaying such a nauseating lack of self-interest.","This is unacceptable. It's discouraging to see individuals who express their reservations and question, 'this seems off.' Perhaps they are unable to evaluate the situation objectively or have prejudices against certain groups. It's rare to observe someone displaying such a lack of self-awareness.",Negative,"The overall sentiment of the sentence is negative due to the use of derogatory language, disdainful tone, and criticism of others' rationality, which reflects strong disapproval and contempt.",Toxic,"The sentence is toxic as it employs insulting language, a patronizing tone, and generalizations that belittle others, aiming to undermine rather than foster constructive dialogue."
